product_id,product_name,category,description,price,image_url,image_path,lost_item_description
1,Sony WH-1000XM5 Wireless Headphones,Electronics,Navy blue Over-ear noise cancelling wireless headphones with 30-hour battery life,348.00,,images\product_001.jpg,"I think I dropped my Navy blue Wireless Headphones near the library, it's got it as a birthday gift"
2,Apple AirPods Pro 2nd Gen,Electronics,Teal Wireless earbuds with active noise cancellation and MagSafe charging case,249.00,,images\product_002.jpg,"Can't find my Teal 2nd Gen, I last had it near the parking lot, it's has a small sticker on it"
3,Samsung Galaxy Buds2 Pro,Electronics,Light blue Wireless earbuds with intelligent ANC and 360 audio,199.99,,images\product_003.jpg,"Missing my Light blue Buds2 Pro since yesterday, probably at the bus stop, it's a little dusty but in good condition"
4,JBL Flip 6 Portable Speaker,Electronics,"White Bluetooth speaker, waterproof IP67, 12 hours playtime",129.95,,images\product_004.jpg,"Left my White Portable Speaker near the library and someone might have taken it, it's pretty new, bought it last month"
5,Anker PowerCore 20000mAh Power Bank,Electronics,Teal Portable charger with dual USB ports and fast charging,45.99,,images\product_005.jpg,"I lost my Teal Power Bank somewhere near the main gate, I think it was a little dusty but in good condition"
6,Logitech M720 Wireless Mouse,Electronics,Light blue Ergonomic wireless mouse with Bluetooth and USB receiver,49.99,,images\product_006.jpg,"Missing my Light blue Wireless Mouse since yesterday, probably in the student center, it's got it as a birthday gift"
7,SanDisk 128GB USB Flash Drive,Electronics,Teal USB 3.0 flash drive with retractable connector,14.99,,images\product_007.jpg,"I think I dropped my Teal Flash Drive at the canteen, it's a little dusty but in good condition"
8,Casio FX-991EX Scientific Calculator,Electronics,Black Scientific calculator with natural textbook display and 552 functions,24.99,,images\product_008.jpg,"My Black Scientific Calculator went missing at the cricket ground, it's the one that's fairly common looking but mine has a tiny mark"
9,HP 15 Laptop Charger 65W,Electronics,Charcoal 65W USB-C laptop charger with blue tip connector for HP laptops,34.99,,images\product_009.jpg,"My Charcoal Charger 65W went missing in the art room, it's the one that's has my initials written somewhere on it"
10,Bose SoundLink Micro Speaker,Electronics,"Brown Small rugged Bluetooth speaker with built-in strap, waterproof",99.00,,images\product_010.jpg,"Can't find my Brown Micro Speaker, I last had it at the cricket ground, it's the one with a keychain attached"
11,Xiaomi Mi Band 7 Fitness Tracker,Electronics,Grey Fitness band with AMOLED display and heart rate monitor,49.99,,images\product_011.jpg,"Has anyone seen a Grey Fitness Tracker? I lost it near the dormitory entrance, it was pretty new, bought it last month"
12,Amazon Kindle Paperwhite 11th Gen,Electronics,"Olive 6.8 inch e-reader with warm light and 8GB storage, waterproof",139.99,,images\product_012.jpg,"I lost my Olive 11th Gen somewhere in the reading room, I think it was has my initials written somewhere on it"
13,Dell Wired USB Keyboard KB216,Electronics,Royal blue Slim wired keyboard with chiclet keys and multimedia shortcuts,16.99,,images\product_013.jpg,"Missing my Royal blue Keyboard KB216 since yesterday, probably in the seminar hall, it's pretty new, bought it last month"
14,Apple Lightning EarPods,Electronics,Grey Wired earphones with Lightning connector and built-in remote,19.00,,images\product_014.jpg,"Has anyone seen a Grey Lightning EarPods? I lost it in the seminar hall, it was has my initials written somewhere on it"
15,Realme 10000mAh Power Bank 2i,Electronics,Purple Slim power bank with dual output ports and LED indicator,15.99,,images\product_015.jpg,"Can't find my Purple Bank 2i, I last had it in the student center, it's got it as a birthday gift"
16,Lenovo ThinkPad USB-C Dock,Electronics,"White Docking station with HDMI, USB-A, USB-C, and Ethernet ports",89.99,,images\product_016.jpg,"I think I dropped my White USB-C Dock in the washroom, it's a bit faded but still works great"
17,TP-Link Portable WiFi Router,Electronics,Grey Compact 4G LTE mobile WiFi hotspot with 2000mAh battery,39.99,,images\product_017.jpg,"Can't find my Grey WiFi Router, I last had it in the mechanical workshop, it's a bit faded but still works great"
18,Creative Pebble V3 Desktop Speakers,Electronics,Maroon USB-C desktop speakers with Bluetooth 5.0 and 8W output,35.99,,images\product_018.jpg,"Has anyone seen a Maroon Desktop Speakers? I lost it in the auditorium, it was has a crack on one side"
19,Portronics Konnect USB-C Hub 6-in-1,Electronics,"Dark green Multi-port adapter with HDMI, USB-A, SD card slots",29.99,,images\product_019.jpg,"Left my Dark green Hub 6-in-1 in the laundry room and someone might have taken it, it's the one with a keychain attached"
20,Boat Rockerz 450 Wireless Headphones,Electronics,Silver On-ear wireless headphones with 40mm drivers and 15-hour battery,29.99,,images\product_020.jpg,"Can't find my Silver Wireless Headphones, I last had it by the vending machine, it's the standard one everyone uses"
21,Herschel Little America Backpack,Bags,Mint green Navy blue backpack with brown leather straps and laptop compartment,109.99,,images\product_021.jpg,"Left my Mint green America Backpack near the ATM and someone might have taken it, it's has a small sticker on it"
22,Nike Brasilia Training Duffel Bag,Bags,Dark green Medium duffel bag with Nike swoosh and separate shoe compartment,45.00,,images\product_022.jpg,"I think I dropped my Dark green Duffel Bag at the canteen, it's slightly worn out but important to me"
23,JanSport SuperBreak Backpack,Bags,Light blue Classic backpack with front utility pocket and padded shoulder straps,36.00,,images\product_023.jpg,"Has anyone seen a Light blue SuperBreak Backpack? I lost it near the parking lot, it was the one I use for college"
24,Fjallraven Kanken Classic,Bags,White Rectangular backpack with top handles and reflective logo,80.00,,images\product_024.jpg,"I lost my White Kanken Classic somewhere near the parking lot, I think it was medium-sized, nothing fancy"
25,Adidas Alliance II Sackpack,Bags,Yellow Drawstring bag with Adidas logo and front zip pocket,18.00,,images\product_025.jpg,"Can't find my Yellow II Sackpack, I last had it near the dormitory entrance, it's has my initials written somewhere on it"
26,Samsonite Laptop Messenger Bag,Bags,Brown Charcoal grey messenger bag with padded 15.6 inch laptop pocket,59.99,,images\product_026.jpg,"Has anyone seen a Brown Messenger Bag? I lost it in the garden area, it was a little dusty but in good condition"
27,Vera Bradley Lunch Bag,Bags,Brown Floral print insulated lunch bag with zip closure and ID window,34.00,,images\product_027.jpg,"Missing my Brown Lunch Bag since yesterday, probably near the ATM, it's has a crack on one side"
